Info_ID,Student_ID,Address,Score,Date of birth
1121,1121,,9.99,21-12-1997
1154,1154,,8.0,24-06-1998
1250,1251,,8.25,24-04-1998
1156,1156,,6.25,21-12-1997
11101,11012,,9.21,26-01-1999
1106,1125,,6.0,16-04-1997
1222,1221,,8.25,13-12-1999
1105,5001,,9.0,12-11-1997
1098,1098,,9.12,13-04-1996
1101,1102,,9.0,26-01-1997
1102,1103,,9.0,30-04-1999
1140,1140,,5.0,12-06-1997
1141,1141,,6.0,12-06-1997
1190,1014,,9.0,22-01-1997
1119,1111,,9.1,12-12-1997
1135,1145,,7.75,23-02-1999
1178,1178,,9.3,12-12-1997
1144,1146,,9.81,30-04-1999
1981,1981,,8.75,26-12-1997
1982,1982,,6.25,21-12-1999
